Ward,Latitude,Longitude,Irradiance_kWh/m2/day,Ambient_Temperature_C
Nyaki east Ward,0.0333234221800196,37.76943511067478,5.81,19.8
Timau Ward,0.0228137069917969,37.19157165314015,5.68,17.7
Kisima Ward,0.1477412441665356,37.39399258847891,5.82,14.9
Kiirua Naari Ward,0.1625079471587783,37.56428612739353,6.31,17.1
Ruiru Rwawera Ward,0.2078991331360267,37.604486141298544,6.43,19.1
Mwangathia Ward,-0.0297747351517285,37.76404982688891,5.76,19.3
Abothuguchi central Ward,-0.0244770089939348,37.68067825829627,5.49,17.0
Abothuguchi west Ward,-0.0168043969654897,37.46868190956418,5.43,10.6
Kiagu Ward,-0.0667128053075642,37.82000655500032,5.82,21.1
Kibirichia Ward,0.1282003148512729,37.52472852535593,6.02,15.6
Mitunguu Ward,-0.1168891423781288,37.78102301768117,5.75,20.1
Igoji east Ward,-0.1762336824570226,37.69931378903132,5.48,18.2
Igoji west Ward,-0.1783387268958076,37.62111030082364,5.13,15.9
Abogeta east Ward,-0.1260311645274945,37.70680216407079,5.5,18.4
Abogeta west Ward,-0.125052510073723,37.508110593325085,5.02,11.6
Nkuene Ward,-0.0507798308520989,37.33665540210719,4.9,5.7
Mitheru Ward,-0.2987391753618413,37.67902265349121,5.46,18.2
Muthambi Ward,-0.2824424944355121,37.70550831868937,5.53,18.6
Mwimbi Ward,-0.2219600843198209,37.75963423205256,5.69,19.4
Namwela Ward,0.7526755599460817,34.54327565593434,5.76,20.9
Charagita Ward,-0.1404698432949675,36.29130160044527,5.46,13.6
Kabuchai/chwele Ward,0.7053758616514989,34.576228679292264,5.95,21.1
Bwake/luuya Ward,0.6591187351118548,34.62940728727408,6.04,21.3
Mumoni Ward,-0.5969663356790245,38.00122159853961,5.46,19.1
Tseikuru Ward,-0.2584095662719809,38.344728089540766,5.75,25.9
Tharaka Ward,-0.366579467239217,38.04725996853355,5.76,24.5
Kyome/thaana Ward,-0.9821089208156438,37.93448265267368,5.55,21.7
Nguutani Ward,-1.0947321372723742,37.923479638482206,5.64,21.3
Migwani Ward,-1.0806642614909427,38.07897086444085,5.83,21.3
Kiomo/kyethani Ward,-0.8715060048877245,37.97158402445713,5.47,23.0
Central Ward,-0.9818630689145748,38.09248597272062,5.75,22.4
Kivou Ward,-0.9200741649312328,38.13101725398685,5.73,23.1
Nguni Ward,-0.834699972213382,38.55180670474776,5.58,25.0
Nuu Ward,-1.0421618690519767,38.52770580314026,5.55,25.5
Mui Ward,-1.0359470288412544,38.22718609981268,5.73,23.6
South Bukusu Ward,0.5331321983916358,34.48895650832658,6.1,21.8
Iria-ini Ward,-0.5513585762600575,36.89895161839436,5.18,15.2
Chinga Ward,-0.5872215615104427,36.89747904576593,5.17,15.1
Nakalale Ward,3.674102221045248,35.17238909675665,6.04,29.0
Kwavonza/yatta Ward,-1.3500090494537091,37.76883407242608,5.45,21.8
Kanyangi Ward,-1.772765378399039,37.929573139828506,5.49,22.2
Miambani Ward,-1.233902803134869,38.10782209708451,5.64,22.9
Township Ward,-1.3532142793672075,38.00483518410358,5.65,21.3
Kyangwithya west Ward,-1.4130999870454046,37.92757945579972,5.55,21.5
Riwo Ward,1.4321306255934587,35.04339763034371,6.32,23.4
Suam Ward,1.4538177545220332,34.90540239786831,6.19,23.1
Kodich Ward,1.6225759888601423,35.0472901437176,6.2,23.6
Kasei Ward,1.9718675291179628,35.25923323047375,6.12,18.3
Kapchok Ward,1.8176839114208745,35.08509898460659,6.33,23.5
Kiwawa Ward,2.1192469860492817,35.12730810572753,6.25,22.8
Miritini Ward,-4.017980746758274,39.58529802060694,5.48,26.2
Chaik Ward,-0.4060565738325972,35.31111223571962,5.45,18.1
Bumula Ward,0.5312436417831757,34.43606335535728,6.1,22.1
Khasoko Ward,0.4831747359239948,34.42191729713515,6.11,22.3
Maralal Ward,1.11262778979015,36.711759823197376,5.74,17.1
Bute Ward,3.2638350825010587,39.45284377887327,5.2,26.1
Nzambani Ward,-1.422291007362624,38.0502365243941,5.59,21.3
West Bukusu Ward,0.5966222908291332,34.478444885938885,6.07,22.4
Township Ward,0.5760659681554953,34.55410375226652,6.1,21.8
Khalaba Ward,0.5721486507014164,34.56089696458032,6.1,21.9
Musikoma Ward,0.5445700703167482,34.535634611641655,6.1,21.9
East Sang'alo Ward,0.4932654522807052,34.63056333684466,6.11,22.1
Marakaru/tuuti Ward,0.6423799446986341,34.52744340146982,6.02,21.7
West Sang'alo Ward,0.5117014829127778,34.586172311734195,6.11,21.8
Mihuu Ward,0.6434578918686596,34.79014690983358,6.08,21.0
Ndivisi Ward,0.7084135272054923,34.79638172011588,6.07,20.5
Maraka Ward,0.5773006295534356,34.757717545485434,6.08,21.8
Misikhu Ward,0.6937201776638052,34.72131824304607,6.05,21.4
Sitikho Ward,0.5327242245465335,34.69849090403956,6.09,22.0
Matulo Ward,0.6179094191954517,34.736572747796586,6.08,21.9
Hirimani Ward,-0.9893326557147896,39.35017077084801,5.47,27.9
Mnarani Ward,-3.695861182538701,39.82469631598195,5.7,26.3
Mumias North Ward,0.3577435317112642,34.52419078453927,6.12,22.2
Wayu Ward,-1.4886623891694868,39.37688415550162,5.44,27.6
Ikutha Ward,-2.0564598942764087,38.225941182303,5.53,23.9
Athi Ward,-2.4476057731204737,38.53960840165204,5.51,25.9
Tulimani Ward,-1.5781655831984691,37.40897451488085,5.42,20.1
Mbooni Ward,-1.64884229724522,37.44045357654221,5.46,16.4
Kithungo/Kitundu Ward,-1.688634240852892,37.47745845635741,5.48,16.4
Kiteta-Kisau Ward,-1.605199316388545,37.52348170853821,5.45,20.6
Waia/Kako Ward,-1.6621200620486256,37.62213247159402,5.44,20.6
Kalawa/ Kathulumbi Ward,-1.6891922413124765,37.75415408336278,5.46,21.7
Kasikeu Ward,-1.9523205274290625,37.35607945118755,5.61,20.5
Mukaa Ward,-1.847579408161132,37.32351791096087,5.57,18.4
